,Unnamed: 0,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer Real,Serial Killer Previsto
0,238,49.42,1.58,83.08,Feminino,Castanho,Preto,Esfaqueamento,Trabalho,Branca,Classe Baixa,Desconhecido,Desconhecido
1,305,34.39,1.68,66.34,Masculino,Azul,Loiro,Envenenamento,Casa,Parda,Classe Alta,Desconhecido,Desconhecido
2,1302,30.49,1.7,53.22,Masculino,Azul,Loiro,Estrangulamento,Rua,Amarela,Classe Alta,Desconhecido,Desconhecido
3,926,40.15,1.87,53.93,Masculino,Castanho,Loiro,Contusão,Rua,Parda,Classe Baixa,Desconhecido,Desconhecido
4,2111,31.23,1.87,84.97,Feminino,Azul,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
5,202,30.65,1.84,49.34,Feminino,Verde,Castanho,Envenenamento,Casa,Negra,Classe Baixa,Desconhecido,Desconhecido
6,1166,54.55,1.74,57.29,Masculino,Castanho,Ruivo,Contusão,Escola,Branca,Classe Média,Desconhecido,Desconhecido
7,439,13.06,1.56,88.97,Masculino,Preto,Castanho,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido,Desconhecido
8,1693,12.89,1.61,46.91,Masculino,Azul,Loiro,Esfaqueamento,Trabalho,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
9,1702,19.83,1.45,41.57,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
10,2013,21.39,1.86,75.17,Feminino,Verde,Ruivo,Estrangulamento,Escola,Amarela,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
11,1102,23.63,1.42,52.16,Masculino,Verde,Loiro,Contusão,Escola,Amarela,Classe Média,Desconhecido,Desconhecido
12,1473,22.02,1.46,54.4,Feminino,Preto,Preto,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido,Desconhecido
13,1880,37.97,1.89,50.43,Feminino,Castanho,Preto,Contusão,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
14,1669,15.93,1.57,45.88,Masculino,Castanho,Loiro,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
15,73,40.75,1.8,41.82,Feminino,Preto,Castanho,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido,Desconhecido
16,1182,38.6,1.45,88.22,Masculino,Verde,Castanho,Envenenamento,Trabalho,Branca,Classe Alta,Desconhecido,Desconhecido
17,859,19.24,1.85,78.93,Masculino,Azul,Preto,Estrangulamento,Casa,Amarela,Classe Alta,Desconhecido,Desconhecido
