,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
591,49.69,1.72,39.18,Masculino,Castanho,Preto,Esfaqueamento,Casa,Branca,Classe Baixa,Desconhecido
398,54.42,1.89,83.66,Feminino,Preto,Ruivo,Estrangulamento,Rua,Amarela,Classe Baixa,Desconhecido
1594,41.71,1.72,58.43,Masculino,Castanho,Preto,Envenenamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
230,45.62,1.61,77.57,Masculino,Azul,Preto,Esfaqueamento,Trabalho,Amarela,Classe Média,Desconhecido
1560,21.97,1.66,59.53,Feminino,Castanho,Preto,Envenenamento,Escola,Parda,Classe Baixa,Coringon de le pinheirinho Silva
81,33.81,1.78,87.9,Masculino,Verde,Castanho,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido
1762,28.17,1.8,78.25,Feminino,Castanho,Ruivo,Estrangulamento,Rua,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1268,43.57,1.56,41.99,Masculino,Azul,Loiro,Esfaqueamento,Trabalho,Amarela,Classe Média,ElBigodon Camacho
688,20.1,1.77,82.28,Feminino,Castanho,Loiro,Esfaqueamento,Casa,Branca,Classe Baixa,Desconhecido
335,33.37,1.49,43.37,Feminino,Verde,Ruivo,Envenenamento,Trabalho,Amarela,Classe Média,Desconhecido
1741,46.42,1.83,69.56,Feminino,Azul,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1761,23.44,1.85,74.14,Feminino,Verde,Loiro,Estrangulamento,Rua,Amarela,Classe Alta,Roberto Chimarildo Tomáz
837,28.94,1.75,39.24,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
1547,33.61,1.71,66.82,Feminino,Azul,Preto,Estrangulamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
360,23.95,1.49,86.5,Masculino,Verde,Preto,Contusão,Casa,Negra,Classe Baixa,Desconhecido
350,40.6,1.61,50.32,Masculino,Verde,Castanho,Esfaqueamento,Casa,Branca,Classe Média,Desconhecido
714,48.68,1.76,32.84,Masculino,Preto,Loiro,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
509,24.16,1.85,75.06,Masculino,Verde,Ruivo,Contusão,Casa,Negra,Classe Média,Desconhecido
