,Unnamed: 0,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer Real,Serial Killer Previsto
0,942,47.89,1.69,54.0,Feminino,Verde,Ruivo,Estrangulamento,Rua,Amarela,Classe Baixa,Desconhecido,Desconhecido
1,1163,13.46,1.58,70.83,Masculino,Azul,Loiro,Estrangulamento,Escola,Parda,Classe Baixa,Desconhecido,Desconhecido
2,522,46.55,1.82,56.53,Masculino,Verde,Castanho,Estrangulamento,Escola,Parda,Classe Média,Desconhecido,Desconhecido
3,67,59.22,1.55,35.88,Feminino,Castanho,Ruivo,Esfaqueamento,Trabalho,Amarela,Classe Alta,Desconhecido,Desconhecido
4,1212,22.98,1.71,49.77,Masculino,Preto,Castanho,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido,Desconhecido
5,1815,21.23,1.75,77.94,Feminino,Preto,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
6,494,22.19,1.78,75.22,Masculino,Verde,Ruivo,Estrangulamento,Escola,Branca,Classe Alta,Desconhecido,Roberto Chimarildo Tomáz
7,1437,23.55,1.42,41.09,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
8,1152,39.74,1.6,79.02,Masculino,Azul,Ruivo,Contusão,Escola,Amarela,Classe Baixa,Desconhecido,Desconhecido
9,818,49.13,1.5,33.82,Masculino,Preto,Preto,Contusão,Trabalho,Parda,Classe Média,Desconhecido,Desconhecido
10,104,43.47,1.76,64.75,Masculino,Castanho,Preto,Esfaqueamento,Trabalho,Parda,Classe Alta,Desconhecido,Desconhecido
11,1780,36.07,1.68,53.8,Feminino,Azul,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
12,928,47.66,1.53,38.17,Feminino,Preto,Castanho,Envenenamento,Casa,Negra,Classe Média,Desconhecido,Desconhecido
13,448,24.96,1.71,49.32,Feminino,Azul,Preto,Esfaqueamento,Escola,Amarela,Classe Média,Desconhecido,Desconhecido
14,1165,51.94,1.46,48.82,Feminino,Azul,Preto,Envenenamento,Trabalho,Negra,Classe Baixa,Desconhecido,Desconhecido
15,1900,20.82,1.75,78.71,Feminino,Verde,Ruivo,Contusão,Casa,Amarela,Classe Baixa,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
16,1956,31.4,1.5,86.41,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
17,1725,34.06,1.63,56.48,Feminino,Castanho,Preto,Estrangulamento,Casa,Parda,Classe Alta,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
18,1150,41.88,1.69,82.1,Masculino,Azul,Ruivo,Envenenamento,Rua,Negra,Classe Baixa,Desconhecido,Desconhecido
19,1043,31.56,1.75,75.76,Masculino,Castanho,Castanho,Esfaqueamento,Trabalho,Negra,Classe Média,Desconhecido,Desconhecido
20,1428,21.96,1.61,39.85,Masculino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
21,114,16.89,1.44,34.25,Masculino,Preto,Loiro,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido,Desconhecido
22,1014,29.97,1.76,41.82,Masculino,Verde,Ruivo,Esfaqueamento,Trabalho,Amarela,Classe Média,Desconhecido,Desconhecido
23,1823,13.3,1.71,83.9,Feminino,Verde,Ruivo,Contusão,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
24,1254,24.33,1.51,69.0,Masculino,Castanho,Castanho,Contusão,Rua,Negra,Classe Baixa,Desconhecido,Desconhecido
25,1215,39.79,1.71,70.07,Masculino,Preto,Ruivo,Contusão,Trabalho,Amarela,Classe Baixa,Desconhecido,Desconhecido
26,257,32.46,1.68,49.88,Feminino,Azul,Preto,Envenenamento,Casa,Branca,Classe Alta,Desconhecido,Desconhecido
27,147,51.75,1.46,63.7,Feminino,Verde,Ruivo,Envenenamento,Escola,Amarela,Classe Alta,Desconhecido,Desconhecido
28,1484,18.74,1.44,62.74,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
29,531,47.65,1.79,80.52,Masculino,Preto,Ruivo,Estrangulamento,Escola,Amarela,Classe Baixa,Desconhecido,Desconhecido
30,1677,45.55,1.65,59.62,Masculino,Verde,Castanho,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
31,1102,56.13,1.88,44.89,Masculino,Azul,Loiro,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido,ElBigodon Camacho
32,873,22.68,1.41,36.71,Masculino,Castanho,Castanho,Estrangulamento,Escola,Parda,Classe Alta,Desconhecido,Desconhecido
33,601,25.51,1.43,55.82,Masculino,Preto,Loiro,Contusão,Escola,Parda,Classe Alta,Desconhecido,Desconhecido
34,1754,41.06,1.84,62.92,Masculino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
35,647,25.54,1.87,62.69,Masculino,Azul,Preto,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido,Desconhecido
36,881,24.15,1.88,43.52,Feminino,Preto,Loiro,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido,Desconhecido
37,1813,31.49,1.78,85.08,Feminino,Verde,Ruivo,Envenenamento,Trabalho,Parda,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
38,551,46.66,1.73,33.47,Masculino,Verde,Preto,Envenenamento,Rua,Amarela,Classe Baixa,Desconhecido,Desconhecido
39,1238,44.81,1.66,43.49,Masculino,Verde,Ruivo,Esfaqueamento,Rua,Negra,Classe Média,Desconhecido,Desconhecido
40,180,51.98,1.41,69.1,Masculino,Castanho,Ruivo,Envenenamento,Rua,Parda,Classe Média,Desconhecido,Desconhecido
41,583,46.31,1.48,36.58,Feminino,Preto,Castanho,Envenenamento,Casa,Negra,Classe Alta,Desconhecido,Desconhecido
42,659,24.27,1.62,89.67,Feminino,Castanho,Ruivo,Envenenamento,Trabalho,Parda,Classe Média,Desconhecido,Desconhecido
43,1865,24.4,1.86,81.59,Feminino,Verde,Ruivo,Estrangulamento,Rua,Negra,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
44,1798,28.38,1.88,69.19,Feminino,Verde,Ruivo,Envenenamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
45,650,26.44,1.73,70.62,Feminino,Castanho,Loiro,Estrangulamento,Rua,Amarela,Classe Baixa,Desconhecido,Desconhecido
46,1778,43.55,1.74,59.36,Feminino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
47,953,47.58,1.61,74.49,Feminino,Castanho,Loiro,Envenenamento,Casa,Branca,Classe Baixa,Desconhecido,Desconhecido
48,295,22.23,1.8,35.09,Masculino,Castanho,Loiro,Contusão,Casa,Negra,Classe Média,Desconhecido,Desconhecido
49,1413,22.85,1.86,84.86,Masculino,Preto,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
50,323,50.9,1.46,47.03,Feminino,Azul,Castanho,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido,Desconhecido
51,303,31.39,1.59,79.31,Masculino,Verde,Ruivo,Estrangulamento,Trabalho,Branca,Classe Alta,Desconhecido,Desconhecido
52,1061,45.05,1.7,86.1,Masculino,Verde,Castanho,Contusão,Trabalho,Parda,Classe Média,Desconhecido,Desconhecido
53,715,35.77,1.89,81.51,Feminino,Verde,Preto,Contusão,Casa,Branca,Classe Alta,Desconhecido,Desconhecido
54,929,59.05,1.8,38.99,Masculino,Verde,Ruivo,Estrangulamento,Escola,Branca,Classe Baixa,Desconhecido,Desconhecido
55,361,22.96,1.83,74.72,Feminino,Preto,Ruivo,Envenenamento,Rua,Negra,Classe Baixa,Desconhecido,Desconhecido
56,1699,46.71,1.62,59.69,Feminino,Castanho,Preto,Contusão,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
57,1884,26.09,1.83,76.25,Feminino,Verde,Ruivo,Estrangulamento,Rua,Negra,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
58,1478,14.34,1.52,37.57,Masculino,Azul,Loiro,Esfaqueamento,Casa,Negra,Classe Média,ElBigodon Camacho,ElBigodon Camacho
59,624,39.77,1.85,78.45,Masculino,Preto,Preto,Envenenamento,Rua,Negra,Classe Baixa,Desconhecido,Desconhecido
60,1247,15.38,1.47,79.03,Masculino,Verde,Castanho,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido,Desconhecido
61,1261,26.74,1.61,55.93,Feminino,Verde,Loiro,Contusão,Casa,Parda,Classe Baixa,Desconhecido,Desconhecido
62,534,47.54,1.87,37.94,Feminino,Preto,Castanho,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido,Desconhecido
63,1200,58.23,1.52,64.19,Masculino,Castanho,Preto,Contusão,Rua,Branca,Classe Média,Desconhecido,Desconhecido
64,470,57.2,1.75,33.23,Feminino,Castanho,Preto,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido,Desconhecido
65,1925,23.03,1.5,78.27,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
66,187,55.42,1.68,84.84,Feminino,Preto,Castanho,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido,Desconhecido
67,1400,20.07,1.55,39.73,Feminino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
68,872,26.4,1.73,51.75,Masculino,Preto,Castanho,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido,Desconhecido
69,1062,23.83,1.8,84.32,Feminino,Preto,Loiro,Estrangulamento,Rua,Negra,Classe Média,Desconhecido,Desconhecido
70,1288,22.94,1.51,88.64,Masculino,Verde,Ruivo,Envenenamento,Escola,Negra,Classe Alta,Desconhecido,Desconhecido
71,486,40.55,1.62,34.34,Masculino,Verde,Loiro,Contusão,Trabalho,Negra,Classe Média,Desconhecido,Desconhecido
72,718,40.27,1.72,70.43,Masculino,Preto,Ruivo,Contusão,Escola,Negra,Classe Alta,Desconhecido,Desconhecido
73,1701,43.42,1.76,58.02,Feminino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
74,1703,36.77,1.65,64.09,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
75,1485,20.98,1.43,39.62,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
76,1861,28.0,1.76,77.84,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
77,1381,14.04,1.85,52.69,Feminino,Azul,Loiro,Envenenamento,Trabalho,Amarela,Classe Baixa,Desconhecido,Desconhecido
78,995,11.17,1.55,72.61,Feminino,Preto,Preto,Envenenamento,Escola,Amarela,Classe Alta,Desconhecido,Desconhecido
79,268,45.25,1.88,59.97,Masculino,Verde,Preto,Envenenamento,Rua,Negra,Classe Média,Desconhecido,Desconhecido
80,723,39.39,1.55,89.33,Feminino,Castanho,Loiro,Envenenamento,Rua,Amarela,Classe Alta,Desconhecido,Desconhecido
81,1668,28.36,1.71,63.35,Masculino,Castanho,Preto,Contusão,Rua,Parda,Classe Média,Coringon de le pinheirinho Silva,Desconhecido
82,648,36.98,1.55,83.39,Feminino,Verde,Preto,Envenenamento,Trabalho,Negra,Classe Média,Desconhecido,Desconhecido
83,191,42.11,1.41,46.58,Feminino,Azul,Preto,Estrangulamento,Trabalho,Branca,Classe Alta,Desconhecido,Desconhecido
84,701,30.72,1.77,45.23,Feminino,Castanho,Ruivo,Contusão,Trabalho,Parda,Classe Alta,Desconhecido,Desconhecido
85,1268,59.28,1.75,59.63,Feminino,Verde,Castanho,Contusão,Rua,Negra,Classe Alta,Desconhecido,Desconhecido
86,469,31.22,1.69,66.71,Masculino,Castanho,Ruivo,Contusão,Trabalho,Parda,Classe Baixa,Desconhecido,Desconhecido
87,1019,49.63,1.45,40.36,Feminino,Azul,Loiro,Envenenamento,Rua,Parda,Classe Alta,Desconhecido,Desconhecido
88,1353,21.01,1.81,60.67,Feminino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Média,Desconhecido,Coringon de le pinheirinho Silva
89,496,28.94,1.82,55.53,Feminino,Preto,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido,Desconhecido
