,Unnamed: 0,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
0,1085,18.54,1.57,48.04,Masculino,Castanho,Preto,Esfaqueamento,Escola,Parda,Classe Alta,Coringon de le pinheirinho Silva
1,925,35.51,1.66,32.39,Masculino,Azul,Castanho,Contusão,Trabalho,Branca,Classe Alta,ElBigodon Camacho
2,1687,21.59,1.88,79.28,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
3,1744,33.24,1.55,78.99,Feminino,Verde,Ruivo,Contusão,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
4,60,14.57,1.53,48.37,Masculino,Azul,Castanho,Contusão,Rua,Amarela,Classe Média,ElBigodon Camacho
5,557,27.93,1.8,80.6,Feminino,Verde,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho
6,1659,52.48,1.76,73.7,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
7,332,20.02,1.47,86.2,Feminino,Preto,Castanho,Estrangulamento,Rua,Negra,Classe Baixa,Roberto Chimarildo Tomáz
8,354,54.22,1.82,63.09,Masculino,Verde,Castanho,Estrangulamento,Trabalho,Branca,Classe Média,ElBigodon Camacho
9,859,12.33,1.69,86.72,Masculino,Preto,Loiro,Esfaqueamento,Rua,Negra,Classe Alta,ElBigodon Camacho
10,77,32.31,1.72,80.05,Masculino,Castanho,Castanho,Contusão,Escola,Negra,Classe Alta,Roberto Chimarildo Tomáz
11,1199,24.24,1.62,39.25,Masculino,Preto,Loiro,Contusão,Rua,Branca,Classe Baixa,ElBigodon Camacho
12,746,36.35,1.62,33.17,Masculino,Verde,Castanho,Contusão,Casa,Branca,Classe Baixa,ElBigodon Camacho
13,555,21.97,1.64,55.78,Feminino,Castanho,Ruivo,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
14,370,32.52,1.43,51.07,Masculino,Preto,Preto,Esfaqueamento,Trabalho,Negra,Classe Alta,ElBigodon Camacho
15,936,31.48,1.47,60.76,Masculino,Verde,Preto,Estrangulamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
16,1498,44.04,1.65,65.02,Masculino,Verde,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
17,1224,23.02,1.64,44.71,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
