,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
1085,18.54,1.57,48.04,Masculino,Castanho,Preto,Esfaqueamento,Escola,Parda,Classe Alta,Desconhecido
925,35.51,1.66,32.39,Masculino,Azul,Castanho,Contusão,Trabalho,Branca,Classe Alta,Desconhecido
1687,21.59,1.88,79.28,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1744,33.24,1.55,78.99,Feminino,Verde,Ruivo,Contusão,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
60,14.57,1.53,48.37,Masculino,Azul,Castanho,Contusão,Rua,Amarela,Classe Média,Desconhecido
557,27.93,1.8,80.6,Feminino,Verde,Loiro,Envenenamento,Rua,Branca,Classe Média,Desconhecido
1659,52.48,1.76,73.7,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
332,20.02,1.47,86.2,Feminino,Preto,Castanho,Estrangulamento,Rua,Negra,Classe Baixa,Desconhecido
354,54.22,1.82,63.09,Masculino,Verde,Castanho,Estrangulamento,Trabalho,Branca,Classe Média,Desconhecido
859,12.33,1.69,86.72,Masculino,Preto,Loiro,Esfaqueamento,Rua,Negra,Classe Alta,Desconhecido
77,32.31,1.72,80.05,Masculino,Castanho,Castanho,Contusão,Escola,Negra,Classe Alta,Desconhecido
1199,24.24,1.62,39.25,Masculino,Preto,Loiro,Contusão,Rua,Branca,Classe Baixa,ElBigodon Camacho
746,36.35,1.62,33.17,Masculino,Verde,Castanho,Contusão,Casa,Branca,Classe Baixa,Desconhecido
555,21.97,1.64,55.78,Feminino,Castanho,Ruivo,Esfaqueamento,Rua,Amarela,Classe Média,Desconhecido
370,32.52,1.43,51.07,Masculino,Preto,Preto,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
936,31.48,1.47,60.76,Masculino,Verde,Preto,Estrangulamento,Casa,Negra,Classe Média,Desconhecido
1498,44.04,1.65,65.02,Masculino,Verde,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1224,23.02,1.64,44.71,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
1254,23.31,1.89,45.5,Feminino,Azul,Loiro,Envenenamento,Casa,Branca,Classe Média,ElBigodon Camacho
1332,17.04,1.62,38.97,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1274,16.81,1.48,45.94,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
927,31.71,1.42,43.54,Feminino,Preto,Loiro,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido
121,28.2,1.55,45.4,Feminino,Castanho,Loiro,Envenenamento,Escola,Parda,Classe Baixa,Desconhecido
595,26.64,1.56,39.23,Feminino,Castanho,Loiro,Envenenamento,Escola,Parda,Classe Média,Desconhecido
1151,18.44,1.65,65.75,Masculino,Castanho,Castanho,Estrangulamento,Trabalho,Parda,Classe Alta,Desconhecido
962,38.12,1.8,79.97,Feminino,Preto,Preto,Contusão,Casa,Amarela,Classe Alta,Desconhecido
1717,29.1,1.84,83.71,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Baixa,Roberto Chimarildo Tomáz
772,55.76,1.48,63.35,Masculino,Azul,Preto,Esfaqueamento,Rua,Negra,Classe Média,Desconhecido
1086,54.32,1.46,47.9,Feminino,Preto,Ruivo,Esfaqueamento,Casa,Negra,Classe Média,Desconhecido
1487,39.91,1.75,58.03,Masculino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
678,13.67,1.62,62.54,Feminino,Castanho,Castanho,Contusão,Rua,Amarela,Classe Baixa,Desconhecido
1668,11.04,1.87,85.37,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1111,24.7,1.6,42.86,Masculino,Preto,Ruivo,Envenenamento,Rua,Parda,Classe Alta,Desconhecido
1421,45.39,1.76,64.77,Masculino,Preto,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
274,15.09,1.85,59.08,Feminino,Castanho,Loiro,Contusão,Trabalho,Branca,Classe Alta,Desconhecido
1271,12.39,1.53,34.24,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1084,17.0,1.69,78.73,Masculino,Castanho,Preto,Envenenamento,Rua,Branca,Classe Alta,Desconhecido
724,10.4,1.71,63.06,Feminino,Azul,Ruivo,Contusão,Trabalho,Negra,Classe Média,Desconhecido
1431,39.36,1.77,56.09,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
320,30.76,1.7,46.34,Masculino,Verde,Preto,Envenenamento,Trabalho,Parda,Classe Baixa,Desconhecido
1549,44.64,1.6,65.83,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
728,49.42,1.86,62.17,Feminino,Verde,Preto,Estrangulamento,Trabalho,Parda,Classe Baixa,Desconhecido
302,59.18,1.56,41.5,Masculino,Verde,Castanho,Contusão,Rua,Amarela,Classe Alta,Desconhecido
330,36.05,1.57,37.77,Masculino,Verde,Castanho,Contusão,Rua,Branca,Classe Alta,Desconhecido
1267,14.09,1.5,44.05,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
990,55.95,1.47,40.37,Masculino,Verde,Loiro,Estrangulamento,Escola,Negra,Classe Alta,Desconhecido
618,50.18,1.66,72.04,Feminino,Castanho,Preto,Estrangulamento,Trabalho,Parda,Classe Média,Desconhecido
1484,41.61,1.52,65.61,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
574,53.72,1.59,67.01,Masculino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
1413,37.93,1.86,50.73,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
827,50.71,1.83,50.29,Feminino,Preto,Preto,Contusão,Rua,Amarela,Classe Alta,Desconhecido
523,19.41,1.77,58.3,Masculino,Verde,Loiro,Esfaqueamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1050,50.72,1.4,88.95,Masculino,Castanho,Preto,Envenenamento,Escola,Amarela,Classe Média,Desconhecido
