,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
1478,45.21,1.74,56.05,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
451,35.23,1.9,82.33,Masculino,Castanho,Castanho,Envenenamento,Escola,Parda,Classe Baixa,Desconhecido
1475,37.13,1.62,61.78,Masculino,Castanho,Castanho,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
885,47.93,1.68,33.55,Feminino,Azul,Ruivo,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1019,47.85,1.78,75.19,Masculino,Verde,Loiro,Contusão,Casa,Branca,Classe Baixa,Desconhecido
1282,14.11,1.61,45.39,Masculino,Azul,Castanho,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
795,27.77,1.53,67.38,Feminino,Azul,Loiro,Esfaqueamento,Escola,Branca,Classe Alta,Desconhecido
1503,45.76,1.77,54.94,Feminino,Castanho,Preto,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
422,35.69,1.83,32.02,Feminino,Verde,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,Desconhecido
1095,25.0,1.66,47.37,Masculino,Preto,Ruivo,Envenenamento,Casa,Branca,Classe Alta,Desconhecido
764,22.76,1.69,52.7,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Negra,Classe Baixa,Desconhecido
438,50.75,1.67,49.65,Masculino,Preto,Castanho,Contusão,Escola,Branca,Classe Média,Desconhecido
875,14.26,1.8,74.73,Masculino,Preto,Preto,Contusão,Casa,Negra,Classe Baixa,Desconhecido
306,16.24,1.47,72.47,Feminino,Castanho,Castanho,Estrangulamento,Casa,Negra,Classe Média,Desconhecido
990,51.23,1.86,40.81,Feminino,Azul,Ruivo,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
686,56.59,1.52,35.05,Feminino,Preto,Loiro,Esfaqueamento,Rua,Parda,Classe Alta,Desconhecido
511,26.06,1.42,42.49,Masculino,Azul,Castanho,Contusão,Casa,Negra,Classe Alta,Desconhecido
1240,54.45,1.47,69.03,Masculino,Azul,Preto,Envenenamento,Rua,Parda,Classe Baixa,Desconhecido
906,52.93,1.55,66.8,Masculino,Preto,Preto,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido
853,47.46,1.7,45.93,Masculino,Preto,Castanho,Estrangulamento,Trabalho,Parda,Classe Média,Desconhecido
140,33.78,1.73,49.54,Masculino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Desconhecido
1781,24.14,1.82,77.61,Feminino,Verde,Ruivo,Estrangulamento,Rua,Branca,Classe Alta,Roberto Chimarildo Tomáz
355,54.68,1.87,67.01,Masculino,Preto,Preto,Envenenamento,Escola,Branca,Classe Alta,Desconhecido
1451,31.82,1.78,45.83,Feminino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
1193,53.6,1.75,70.87,Masculino,Azul,Preto,Contusão,Casa,Negra,Classe Média,Desconhecido
1017,30.68,1.46,74.37,Masculino,Azul,Castanho,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
267,10.8,1.89,75.31,Masculino,Verde,Castanho,Envenenamento,Rua,Branca,Classe Baixa,Desconhecido
563,56.8,1.64,69.57,Feminino,Preto,Ruivo,Contusão,Casa,Parda,Classe Baixa,Desconhecido
1471,40.08,1.68,62.07,Masculino,Castanho,Preto,Envenenamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
314,51.98,1.79,81.25,Masculino,Azul,Preto,Esfaqueamento,Rua,Parda,Classe Média,Desconhecido
1458,37.61,1.76,56.45,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
723,20.67,1.88,35.93,Feminino,Castanho,Ruivo,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido
1782,31.73,1.73,81.53,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
683,28.85,1.73,48.23,Feminino,Verde,Castanho,Contusão,Casa,Amarela,Classe Média,Desconhecido
2,27.83,1.47,48.49,Feminino,Verde,Loiro,Esfaqueamento,Escola,Branca,Classe Baixa,Desconhecido
245,53.11,1.87,55.18,Masculino,Preto,Castanho,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
1580,21.98,1.75,66.5,Masculino,Castanho,Preto,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
1617,20.11,1.73,76.41,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
682,52.89,1.83,45.39,Masculino,Azul,Castanho,Envenenamento,Rua,Branca,Classe Alta,Desconhecido
32,22.09,1.62,68.41,Feminino,Castanho,Loiro,Envenenamento,Escola,Amarela,Classe Baixa,Desconhecido
1053,20.23,1.53,83.98,Feminino,Preto,Ruivo,Estrangulamento,Rua,Parda,Classe Média,Desconhecido
537,53.88,1.75,49.56,Feminino,Castanho,Preto,Estrangulamento,Escola,Parda,Classe Média,Desconhecido
620,45.71,1.86,35.65,Feminino,Verde,Preto,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
1561,37.87,1.68,64.84,Masculino,Verde,Preto,Envenenamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
921,34.59,1.7,48.5,Masculino,Castanho,Castanho,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido
213,42.74,1.87,50.28,Masculino,Verde,Castanho,Esfaqueamento,Casa,Negra,Classe Baixa,Desconhecido
854,12.11,1.77,49.22,Feminino,Castanho,Preto,Esfaqueamento,Rua,Negra,Classe Alta,Desconhecido
1361,19.74,1.61,35.34,Masculino,Azul,Ruivo,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1303,26.2,1.47,83.79,Masculino,Azul,Castanho,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1704,54.15,1.77,83.02,Feminino,Preto,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
1737,43.77,1.88,82.14,Masculino,Verde,Castanho,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
869,30.27,1.51,88.5,Masculino,Castanho,Loiro,Esfaqueamento,Trabalho,Parda,Classe Baixa,Desconhecido
794,25.06,1.72,62.43,Masculino,Preto,Ruivo,Estrangulamento,Rua,Negra,Classe Alta,Desconhecido
1285,14.02,1.46,75.66,Masculino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
1539,38.98,1.69,57.45,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
423,37.87,1.66,54.97,Feminino,Preto,Loiro,Esfaqueamento,Trabalho,Negra,Classe Baixa,Desconhecido
961,42.42,1.42,65.25,Masculino,Azul,Ruivo,Esfaqueamento,Rua,Negra,Classe Média,Desconhecido
627,44.34,1.76,56.85,Masculino,Castanho,Castanho,Esfaqueamento,Trabalho,Parda,Classe Média,Desconhecido
1033,27.74,1.73,67.22,Feminino,Castanho,Loiro,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido
1469,42.77,1.61,65.51,Masculino,Castanho,Preto,Estrangulamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
684,59.78,1.65,49.49,Masculino,Azul,Ruivo,Contusão,Escola,Branca,Classe Alta,Desconhecido
519,43.14,1.71,40.2,Masculino,Azul,Loiro,Estrangulamento,Escola,Amarela,Classe Média,Desconhecido
1606,34.47,1.69,56.84,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
190,36.5,1.43,33.13,Masculino,Azul,Ruivo,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
1700,32.59,1.83,85.91,Feminino,Preto,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
878,21.58,1.66,46.81,Masculino,Verde,Preto,Esfaqueamento,Rua,Branca,Classe Alta,Desconhecido
787,39.73,1.87,77.06,Masculino,Verde,Preto,Esfaqueamento,Rua,Negra,Classe Média,Desconhecido
402,31.42,1.73,71.74,Masculino,Azul,Ruivo,Estrangulamento,Rua,Branca,Classe Média,Desconhecido
489,38.74,1.45,51.04,Masculino,Preto,Castanho,Contusão,Trabalho,Parda,Classe Baixa,Desconhecido
1375,20.71,1.51,36.49,Feminino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho
922,34.01,1.64,67.75,Masculino,Preto,Loiro,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido
27,47.35,1.55,78.98,Feminino,Verde,Loiro,Envenenamento,Rua,Negra,Classe Baixa,Desconhecido
1188,57.69,1.45,60.45,Masculino,Preto,Castanho,Contusão,Rua,Branca,Classe Baixa,Desconhecido
54,14.73,1.63,45.02,Masculino,Azul,Preto,Envenenamento,Casa,Branca,Classe Alta,Desconhecido
1233,23.29,1.72,54.04,Feminino,Preto,Preto,Esfaqueamento,Rua,Negra,Classe Baixa,Desconhecido
1492,33.64,1.61,59.16,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
1558,36.24,1.7,51.58,Masculino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Alta,Coringon de le pinheirinho Silva
1777,24.95,1.72,85.12,Masculino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1671,27.69,1.76,74.71,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1597,38.19,1.73,60.06,Feminino,Castanho,Preto,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
1489,53.88,1.62,57.8,Feminino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1097,44.63,1.89,36.08,Feminino,Azul,Loiro,Contusão,Trabalho,Branca,Classe Alta,Desconhecido
1419,38.97,1.7,62.99,Masculino,Castanho,Ruivo,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
51,22.36,1.74,63.96,Feminino,Azul,Preto,Esfaqueamento,Escola,Parda,Classe Alta,Desconhecido
1449,37.93,1.68,79.8,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
48,48.1,1.69,54.27,Masculino,Verde,Loiro,Contusão,Trabalho,Negra,Classe Baixa,Desconhecido
46,20.8,1.76,43.42,Feminino,Verde,Ruivo,Envenenamento,Casa,Negra,Classe Alta,Desconhecido
339,36.07,1.51,82.84,Masculino,Verde,Castanho,Esfaqueamento,Escola,Branca,Classe Alta,Desconhecido
621,54.77,1.64,55.37,Masculino,Azul,Ruivo,Contusão,Casa,Amarela,Classe Média,Desconhecido
321,28.24,1.4,76.31,Feminino,Preto,Castanho,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
477,14.02,1.74,77.55,Masculino,Castanho,Loiro,Contusão,Escola,Parda,Classe Baixa,Desconhecido
1734,32.37,1.86,80.18,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
975,54.93,1.79,69.36,Masculino,Azul,Castanho,Estrangulamento,Trabalho,Negra,Classe Média,Desconhecido
1787,11.16,1.84,73.38,Feminino,Preto,Ruivo,Estrangulamento,Casa,Amarela,Classe Média,Roberto Chimarildo Tomáz
713,27.9,1.8,46.88,Feminino,Azul,Loiro,Envenenamento,Casa,Branca,Classe Média,Desconhecido
834,35.99,1.87,72.12,Feminino,Azul,Loiro,Esfaqueamento,Rua,Parda,Classe Média,Desconhecido
180,54.98,1.45,74.18,Masculino,Preto,Preto,Envenenamento,Casa,Parda,Classe Média,Desconhecido
1313,46.87,1.49,45.31,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
109,34.28,1.68,51.78,Masculino,Verde,Preto,Contusão,Escola,Negra,Classe Média,Desconhecido
655,48.2,1.73,55.11,Masculino,Castanho,Preto,Estrangulamento,Casa,Amarela,Classe Média,Desconhecido
154,43.47,1.4,54.14,Masculino,Verde,Ruivo,Estrangulamento,Rua,Amarela,Classe Alta,Desconhecido
1797,19.17,1.57,82.96,Masculino,Castanho,Ruivo,Envenenamento,Casa,Parda,Classe Média,Roberto Chimarildo Tomáz
279,16.28,1.66,75.21,Masculino,Verde,Preto,Estrangulamento,Casa,Negra,Classe Alta,Desconhecido
1201,32.83,1.83,84.24,Feminino,Azul,Castanho,Estrangulamento,Rua,Negra,Classe Média,Desconhecido
302,39.4,1.47,62.82,Masculino,Preto,Preto,Esfaqueamento,Trabalho,Branca,Classe Alta,Desconhecido
676,24.72,1.67,52.97,Masculino,Preto,Loiro,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido
1048,49.29,1.76,56.32,Masculino,Azul,Ruivo,Envenenamento,Escola,Negra,Classe Média,Desconhecido
1746,32.94,1.85,75.29,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
105,59.7,1.82,68.77,Feminino,Azul,Ruivo,Contusão,Escola,Amarela,Classe Média,Desconhecido
1018,52.21,1.77,62.16,Feminino,Castanho,Preto,Contusão,Trabalho,Branca,Classe Média,Desconhecido
31,51.24,1.88,30.66,Feminino,Preto,Ruivo,Esfaqueamento,Casa,Branca,Classe Média,Desconhecido
758,25.94,1.82,60.38,Feminino,Preto,Castanho,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
992,56.17,1.44,45.18,Feminino,Castanho,Ruivo,Estrangulamento,Rua,Branca,Classe Baixa,Desconhecido
1072,40.72,1.41,40.28,Feminino,Castanho,Loiro,Envenenamento,Escola,Negra,Classe Baixa,Desconhecido
1346,12.19,1.4,76.81,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
228,29.78,1.88,65.05,Feminino,Preto,Ruivo,Contusão,Trabalho,Negra,Classe Baixa,Desconhecido
65,47.27,1.47,85.23,Masculino,Preto,Preto,Estrangulamento,Casa,Negra,Classe Baixa,Desconhecido
1642,29.13,1.87,75.74,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1340,14.95,1.5,43.19,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
673,29.34,1.57,30.17,Feminino,Castanho,Ruivo,Envenenamento,Rua,Amarela,Classe Alta,Desconhecido
1591,44.97,1.64,56.11,Masculino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1126,58.04,1.62,81.05,Masculino,Preto,Preto,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
1112,38.56,1.73,64.83,Feminino,Azul,Castanho,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido
1328,19.64,1.5,43.9,Masculino,Azul,Preto,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
1779,26.54,1.87,79.22,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
949,41.8,1.72,72.53,Feminino,Verde,Ruivo,Estrangulamento,Rua,Branca,Classe Baixa,Desconhecido
1683,25.93,1.88,78.12,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
241,53.32,1.83,67.36,Feminino,Verde,Ruivo,Envenenamento,Trabalho,Amarela,Classe Média,Desconhecido
552,31.23,1.57,89.7,Masculino,Verde,Loiro,Estrangulamento,Trabalho,Amarela,Classe Alta,Desconhecido
1790,28.53,1.86,86.35,Feminino,Preto,Ruivo,Contusão,Trabalho,Parda,Classe Alta,Roberto Chimarildo Tomáz
1174,53.67,1.46,83.18,Masculino,Castanho,Preto,Esfaqueamento,Escola,Negra,Classe Alta,Desconhecido
1620,30.1,1.86,79.69,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
172,29.98,1.64,52.11,Feminino,Azul,Preto,Envenenamento,Escola,Branca,Classe Média,Desconhecido
1412,11.28,1.45,34.99,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1639,20.16,1.72,82.17,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
807,52.19,1.86,43.9,Masculino,Preto,Ruivo,Estrangulamento,Trabalho,Parda,Classe Alta,Desconhecido
26,42.01,1.6,35.34,Masculino,Castanho,Loiro,Contusão,Trabalho,Amarela,Classe Baixa,Desconhecido
540,33.43,1.49,58.67,Feminino,Preto,Preto,Envenenamento,Rua,Negra,Classe Média,Desconhecido
644,26.47,1.42,31.11,Feminino,Azul,Castanho,Estrangulamento,Escola,Amarela,Classe Baixa,Desconhecido
1105,37.13,1.73,78.32,Feminino,Azul,Castanho,Envenenamento,Casa,Branca,Classe Alta,Desconhecido
1278,22.02,1.43,33.7,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
259,29.78,1.72,58.74,Masculino,Verde,Preto,Estrangulamento,Casa,Negra,Classe Alta,Desconhecido
551,43.26,1.87,33.97,Feminino,Castanho,Preto,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido
1295,24.63,1.48,34.57,Masculino,Preto,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1772,32.67,1.83,74.86,Masculino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
67,38.58,1.75,40.15,Masculino,Castanho,Preto,Contusão,Casa,Branca,Classe Baixa,Desconhecido
282,53.55,1.78,49.22,Masculino,Verde,Preto,Estrangulamento,Rua,Negra,Classe Baixa,Desconhecido
817,48.52,1.88,86.93,Masculino,Verde,Preto,Esfaqueamento,Escola,Parda,Classe Alta,Desconhecido
404,17.25,1.58,51.52,Feminino,Castanho,Castanho,Contusão,Casa,Negra,Classe Baixa,Desconhecido
1392,22.93,1.53,45.87,Masculino,Castanho,Loiro,Esfaqueamento,Escola,Amarela,Classe Média,ElBigodon Camacho
1254,40.24,1.87,57.51,Feminino,Azul,Ruivo,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
1337,23.6,1.65,35.42,Masculino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho
748,29.12,1.81,84.89,Feminino,Verde,Castanho,Envenenamento,Casa,Negra,Classe Baixa,Desconhecido
1051,10.11,1.41,60.84,Masculino,Preto,Loiro,Envenenamento,Trabalho,Branca,Classe Média,Desconhecido
1139,24.56,1.66,63.49,Feminino,Verde,Castanho,Esfaqueamento,Escola,Amarela,Classe Média,Desconhecido
1446,40.03,1.64,55.07,Feminino,Castanho,Preto,Contusão,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
1383,19.14,1.58,64.97,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1176,56.15,1.45,52.53,Feminino,Preto,Preto,Envenenamento,Casa,Amarela,Classe Alta,Desconhecido
999,58.62,1.72,76.21,Feminino,Preto,Ruivo,Estrangulamento,Rua,Branca,Classe Alta,Desconhecido
625,51.78,1.84,87.12,Feminino,Castanho,Ruivo,Esfaqueamento,Escola,Parda,Classe Média,Desconhecido
1296,20.22,1.52,39.15,Feminino,Azul,Preto,Esfaqueamento,Trabalho,Branca,Classe Alta,ElBigodon Camacho
546,58.6,1.47,30.68,Masculino,Azul,Ruivo,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
704,17.8,1.65,51.32,Feminino,Azul,Ruivo,Contusão,Casa,Parda,Classe Baixa,Desconhecido
270,42.65,1.51,37.58,Feminino,Verde,Preto,Esfaqueamento,Trabalho,Branca,Classe Alta,Desconhecido
706,27.17,1.88,62.1,Feminino,Castanho,Ruivo,Envenenamento,Casa,Negra,Classe Média,Desconhecido
1113,49.05,1.79,45.18,Masculino,Preto,Castanho,Estrangulamento,Casa,Branca,Classe Baixa,Desconhecido
674,35.16,1.77,49.16,Masculino,Azul,Castanho,Envenenamento,Trabalho,Branca,Classe Média,Desconhecido
505,13.61,1.55,44.56,Masculino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Alta,Desconhecido
466,39.11,1.44,43.02,Feminino,Verde,Preto,Esfaqueamento,Escola,Negra,Classe Alta,Desconhecido
1237,19.2,1.79,88.04,Feminino,Preto,Preto,Estrangulamento,Trabalho,Branca,Classe Média,Desconhecido
1368,11.14,1.49,40.59,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1210,32.24,1.56,76.49,Feminino,Preto,Loiro,Contusão,Escola,Amarela,Classe Alta,Desconhecido
1455,35.3,1.75,64.83,Masculino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Baixa,Coringon de le pinheirinho Silva
692,33.49,1.46,48.3,Feminino,Verde,Loiro,Contusão,Trabalho,Branca,Classe Alta,Desconhecido
881,50.13,1.86,89.18,Masculino,Preto,Ruivo,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
1124,44.99,1.67,58.14,Masculino,Castanho,Castanho,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
1600,33.53,1.73,64.28,Masculino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
844,53.13,1.84,52.75,Masculino,Azul,Loiro,Envenenamento,Casa,Amarela,Classe Média,Desconhecido
236,33.3,1.84,85.39,Masculino,Preto,Loiro,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
1190,22.36,1.42,30.47,Feminino,Verde,Loiro,Estrangulamento,Escola,Parda,Classe Alta,Desconhecido
1327,19.86,1.43,56.01,Masculino,Preto,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1514,59.73,1.76,66.85,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1251,54.37,1.54,61.38,Masculino,Verde,Loiro,Esfaqueamento,Trabalho,Negra,Classe Baixa,Desconhecido
357,51.43,1.58,75.83,Feminino,Castanho,Loiro,Contusão,Rua,Branca,Classe Alta,Desconhecido
445,27.39,1.78,50.19,Feminino,Castanho,Loiro,Envenenamento,Casa,Parda,Classe Alta,Desconhecido
1692,26.61,1.87,86.56,Feminino,Preto,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1310,13.79,1.57,38.35,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
1155,40.86,1.89,54.72,Masculino,Preto,Castanho,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
1609,24.8,1.84,81.3,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Negra,Classe Alta,Roberto Chimarildo Tomáz
1482,35.03,1.61,66.29,Masculino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1588,46.41,1.67,51.0,Masculino,Castanho,Preto,Envenenamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
301,36.08,1.58,60.97,Feminino,Preto,Preto,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1778,24.73,1.83,79.74,Feminino,Preto,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
663,16.12,1.73,31.11,Masculino,Castanho,Loiro,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
1367,14.88,1.56,33.04,Masculino,Verde,Castanho,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
472,27.32,1.9,69.89,Masculino,Azul,Castanho,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
1159,34.41,1.79,70.99,Masculino,Castanho,Loiro,Esfaqueamento,Trabalho,Parda,Classe Média,Desconhecido
1335,17.3,1.45,43.78,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1050,50.36,1.48,75.74,Masculino,Azul,Ruivo,Envenenamento,Rua,Amarela,Classe Baixa,Desconhecido
406,53.2,1.61,62.93,Feminino,Azul,Preto,Contusão,Trabalho,Branca,Classe Alta,Desconhecido
770,53.24,1.58,64.46,Masculino,Preto,Castanho,Esfaqueamento,Casa,Negra,Classe Média,Desconhecido
290,20.35,1.78,71.78,Feminino,Castanho,Preto,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
722,26.43,1.89,77.84,Feminino,Verde,Preto,Contusão,Escola,Amarela,Classe Baixa,Desconhecido
1358,20.14,1.71,40.91,Masculino,Azul,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
178,39.93,1.85,42.97,Masculino,Preto,Loiro,Envenenamento,Escola,Amarela,Classe Baixa,Desconhecido
915,15.62,1.58,58.54,Masculino,Azul,Preto,Esfaqueamento,Rua,Amarela,Classe Baixa,Desconhecido
89,54.35,1.49,62.69,Feminino,Preto,Ruivo,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido
1374,24.55,1.55,85.36,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1325,21.72,1.58,44.89,Masculino,Azul,Preto,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
685,11.56,1.61,87.84,Masculino,Castanho,Preto,Esfaqueamento,Rua,Branca,Classe Baixa,Desconhecido
613,35.97,1.74,30.26,Feminino,Castanho,Castanho,Contusão,Escola,Amarela,Classe Média,Desconhecido
1456,44.32,1.73,65.15,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1175,20.42,1.44,73.64,Masculino,Preto,Castanho,Esfaqueamento,Trabalho,Branca,Classe Baixa,Desconhecido
