,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer Real
1631,36.05,1.66,56.86,Masculino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
434,16.31,1.62,65.25,Masculino,Verde,Castanho,Envenenamento,Casa,Amarela,Classe Alta,Desconhecido
1287,47.31,1.45,38.74,Masculino,Preto,Loiro,Contusão,Casa,Negra,Classe Alta,Desconhecido
1046,18.76,1.48,68.51,Feminino,Azul,Ruivo,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
1028,18.02,1.45,51.58,Feminino,Verde,Loiro,Envenenamento,Escola,Parda,Classe Alta,Desconhecido
1134,33.74,1.55,43.46,Feminino,Verde,Castanho,Esfaqueamento,Trabalho,Parda,Classe Média,Desconhecido
767,46.17,1.59,57.1,Masculino,Preto,Loiro,Estrangulamento,Trabalho,Branca,Classe Alta,Desconhecido
1336,13.06,1.59,34.82,Masculino,Verde,Loiro,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
1697,27.04,1.77,74.5,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
881,11.25,1.49,83.29,Masculino,Azul,Loiro,Envenenamento,Rua,Parda,Classe Alta,Desconhecido
976,51.98,1.89,65.53,Masculino,Azul,Loiro,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
345,48.81,1.72,44.94,Masculino,Castanho,Preto,Contusão,Casa,Amarela,Classe Alta,Desconhecido
1488,35.18,1.74,58.56,Masculino,Verde,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
535,36.46,1.87,41.65,Masculino,Azul,Preto,Esfaqueamento,Rua,Branca,Classe Média,Desconhecido
729,44.93,1.47,53.85,Masculino,Preto,Preto,Contusão,Rua,Negra,Classe Média,Desconhecido
1765,26.63,1.79,82.69,Feminino,Preto,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1666,31.23,1.78,73.58,Feminino,Azul,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
148,24.26,1.85,70.93,Masculino,Preto,Preto,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
603,51.98,1.73,54.8,Feminino,Azul,Ruivo,Estrangulamento,Casa,Parda,Classe Média,Desconhecido
1252,26.0,1.58,56.14,Masculino,Castanho,Ruivo,Contusão,Escola,Parda,Classe Baixa,Desconhecido
1732,19.21,1.72,79.79,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1135,13.81,1.87,35.47,Feminino,Verde,Preto,Envenenamento,Casa,Amarela,Classe Baixa,Desconhecido
1688,24.31,1.75,83.47,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
555,59.89,1.72,87.11,Masculino,Azul,Castanho,Estrangulamento,Casa,Amarela,Classe Média,Desconhecido
905,25.8,1.85,57.0,Feminino,Preto,Ruivo,Contusão,Casa,Branca,Classe Média,Desconhecido
270,54.07,1.53,69.46,Feminino,Verde,Castanho,Envenenamento,Casa,Branca,Classe Baixa,Desconhecido
38,26.89,1.47,61.52,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Média,Desconhecido
1168,45.5,1.72,56.14,Feminino,Azul,Ruivo,Envenenamento,Escola,Negra,Classe Alta,Desconhecido
1015,30.43,1.43,47.61,Masculino,Azul,Castanho,Estrangulamento,Escola,Parda,Classe Média,Desconhecido
1117,11.59,1.52,69.56,Feminino,Preto,Ruivo,Esfaqueamento,Casa,Negra,Classe Média,Desconhecido
963,55.72,1.68,36.58,Feminino,Castanho,Castanho,Esfaqueamento,Escola,Amarela,Classe Média,Desconhecido
806,31.66,1.73,53.48,Masculino,Castanho,Castanho,Estrangulamento,Casa,Amarela,Classe Média,Desconhecido
637,14.05,1.45,71.98,Masculino,Verde,Castanho,Esfaqueamento,Trabalho,Branca,Classe Baixa,Desconhecido
1512,39.27,1.65,85.95,Feminino,Preto,Preto,Estrangulamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
782,53.38,1.57,51.22,Feminino,Castanho,Preto,Estrangulamento,Rua,Negra,Classe Alta,Desconhecido
250,50.56,1.48,57.96,Masculino,Castanho,Preto,Envenenamento,Rua,Negra,Classe Média,Desconhecido
172,19.85,1.7,39.1,Feminino,Castanho,Loiro,Contusão,Rua,Parda,Classe Alta,Desconhecido
1045,27.26,1.53,70.36,Feminino,Preto,Loiro,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
950,39.59,1.69,30.49,Masculino,Verde,Loiro,Estrangulamento,Casa,Negra,Classe Alta,Desconhecido
1572,38.64,1.6,65.77,Feminino,Castanho,Preto,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
317,43.68,1.75,77.24,Masculino,Verde,Loiro,Contusão,Trabalho,Negra,Classe Alta,Desconhecido
928,59.95,1.4,33.71,Masculino,Preto,Loiro,Estrangulamento,Escola,Parda,Classe Baixa,Desconhecido
924,46.96,1.74,52.85,Feminino,Preto,Loiro,Envenenamento,Escola,Branca,Classe Alta,Desconhecido
707,51.81,1.43,47.53,Masculino,Verde,Preto,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido
513,22.53,1.84,57.89,Masculino,Preto,Castanho,Contusão,Trabalho,Branca,Classe Baixa,Desconhecido
534,29.97,1.77,32.37,Feminino,Preto,Loiro,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido
573,15.33,1.46,55.17,Masculino,Castanho,Loiro,Contusão,Casa,Negra,Classe Média,Desconhecido
1444,22.35,1.52,45.32,Masculino,Azul,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
523,25.99,1.77,59.23,Masculino,Azul,Preto,Estrangulamento,Trabalho,Amarela,Classe Baixa,Desconhecido
786,11.03,1.51,87.09,Feminino,Verde,Ruivo,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
1177,51.56,1.67,56.93,Masculino,Castanho,Preto,Contusão,Escola,Branca,Classe Média,Desconhecido
596,39.76,1.78,44.43,Feminino,Verde,Ruivo,Envenenamento,Casa,Parda,Classe Média,Desconhecido
1325,17.61,1.81,42.2,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1599,45.79,1.74,55.43,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
471,48.55,1.51,89.45,Masculino,Verde,Ruivo,Estrangulamento,Escola,Negra,Classe Média,Desconhecido
