,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
956,42.89,1.42,61.29,Masculino,Castanho,Loiro,Estrangulamento,Trabalho,Negra,Classe Baixa,Desconhecido
1605,43.81,1.84,66.34,Feminino,Azul,Loiro,Contusão,Trabalho,Negra,Classe Baixa,Desconhecido
1103,25.86,1.81,34.43,Feminino,Verde,Castanho,Envenenamento,Trabalho,Negra,Classe Média,Desconhecido
386,53.73,1.82,80.9,Masculino,Azul,Preto,Contusão,Escola,Amarela,Classe Média,Desconhecido
1994,39.54,1.69,54.96,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1223,29.03,1.81,87.71,Masculino,Castanho,Loiro,Esfaqueamento,Escola,Amarela,Classe Baixa,Desconhecido
510,47.99,1.89,76.12,Feminino,Castanho,Loiro,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
1540,51.21,1.86,69.5,Feminino,Azul,Preto,Contusão,Casa,Branca,Classe Média,Desconhecido
798,23.31,1.7,70.01,Feminino,Preto,Preto,Contusão,Escola,Amarela,Classe Baixa,Desconhecido
2235,32.3,1.87,77.45,Feminino,Verde,Ruivo,Estrangulamento,Rua,Branca,Classe Alta,Roberto Chimarildo Tomáz
190,28.26,1.84,59.64,Feminino,Castanho,Castanho,Contusão,Casa,Branca,Classe Baixa,Desconhecido
1273,29.27,1.48,30.07,Feminino,Preto,Castanho,Contusão,Trabalho,Negra,Classe Média,Desconhecido
1369,56.57,1.59,70.12,Feminino,Castanho,Castanho,Estrangulamento,Escola,Amarela,Classe Baixa,Desconhecido
54,52.77,1.43,60.34,Masculino,Verde,Castanho,Contusão,Escola,Branca,Classe Alta,Desconhecido
1721,15.33,1.54,42.55,Feminino,Azul,Preto,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1067,40.91,1.64,76.66,Feminino,Preto,Castanho,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido
1874,17.6,1.44,34.22,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho
846,12.11,1.6,51.03,Feminino,Verde,Ruivo,Esfaqueamento,Rua,Parda,Classe Baixa,Desconhecido
39,55.78,1.57,44.92,Feminino,Preto,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Baixa,Desconhecido
996,44.78,1.52,81.25,Feminino,Castanho,Preto,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
1289,18.95,1.58,72.59,Masculino,Azul,Preto,Estrangulamento,Escola,Negra,Classe Baixa,Desconhecido
321,35.54,1.82,35.07,Feminino,Preto,Ruivo,Contusão,Casa,Parda,Classe Alta,Desconhecido
1315,11.11,1.59,80.67,Feminino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Média,Desconhecido
665,20.29,1.62,78.67,Feminino,Preto,Ruivo,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
63,50.34,1.76,65.54,Feminino,Verde,Preto,Envenenamento,Escola,Parda,Classe Alta,Desconhecido
